date,open,high,low,close,volume
1594022400000,0.2197,0.21982,0.21889,0.2193,43163.1
1594018800000,0.22024,0.221,0.21872,0.2197,298890.7
1594015200000,0.2185,0.22024,0.21771,0.22024,256421.5
1594011600000,0.21675,0.21845,0.21637,0.21808,104871.2
1594008000000,0.21651,0.21692,0.21614,0.2165,52185.8
1594004400000,0.21683,0.21683,0.21614,0.21619,15577.3
1594000800000,0.21805,0.2187,0.21646,0.21651,78552.6
1593997200000,0.21604,0.21876,0.21604,0.21757,81788.9
1593993600000,0.21645,0.21703,0.21594,0.21594,128107.0
1593990000000,0.217,0.2175,0.21554,0.21596,128913.8
1593986400000,0.2156,0.21741,0.21426,0.21654,139789.2
1593982800000,0.21462,0.21624,0.2115,0.21487,225122.2
1593979200000,0.21633,0.2168,0.21462,0.21462,154416.3
1593975600000,0.21613,0.21685,0.21601,0.21636,14854.2
1593972000000,0.2163,0.21685,0.21606,0.2163,32515.6
1593968400000,0.21645,0.21738,0.21566,0.21645,101824.4
1593964800000,0.21601,0.21703,0.21569,0.21586,36531.0
1593961200000,0.21498,0.21677,0.21492,0.21569,105571.9
1593957600000,0.2147,0.21583,0.21294,0.21486,323023.0
1593954000000,0.21565,0.21622,0.21453,0.21474,109180.6
1593950400000,0.21674,0.21674,0.21433,0.21567,194632.4
1593946800000,0.21565,0.218,0.21565,0.21667,166881.2
1593943200000,0.21565,0.2162,0.21485,0.21512,126588.1
1593939600000,0.2169,0.217,0.214,0.2158,158564.6
1593936000000,0.21702,0.21725,0.2159,0.21651,53682.4
1593932400000,0.21598,0.21751,0.2154,0.21646,171122.6
1593928800000,0.21632,0.21741,0.21556,0.21558,110534.6
1593925200000,0.21963,0.21965,0.2151,0.21634,237272.1
1593921600000,0.21986,0.22046,0.21913,0.21963,42351.9
1593918000000,0.21903,0.22051,0.21861,0.22005,75187.5
1593914400000,0.22108,0.2216,0.21885,0.21902,161864.4
1593910800000,0.22204,0.22208,0.22049,0.22064,107317.5
1593907200000,0.22246,0.22305,0.22161,0.22184,154126.7
1593903600000,0.22245,0.2235,0.22206,0.22307,108697.1
1593900000000,0.22127,0.22299,0.22127,0.22246,116186.7
1593896400000,0.22213,0.22323,0.22102,0.22181,342980.7
1593892800000,0.22149,0.22256,0.21993,0.22219,236725.1
1593889200000,0.21899,0.22245,0.21815,0.22145,430122.5
1593885600000,0.21987,0.2204,0.21808,0.21856,180840.5
1593882000000,0.21691,0.22039,0.21685,0.21931,611282.2
